"Time [s]"	"Engine RPM"	"Vehicle Speed"	"Fuel Level Input"	"Distance since ECU reset"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Comm. Throttle Actuator Cntrl"	
    2021-05-29 15:35:05.465	0.0	0.0	80.0	3659.0	0.0	96.5911865234375	9.803921699523926	
    2021-05-29 15:35:21.569	0.0	0.0	80.0	3659.0	0.0	96.6094970703125	4.313725471496582	
    2021-05-29 15:35:22.258	249.0	0.0	80.0	3659.0	47.843135833740234	96.6461181640625	8.235294342041016	
    2021-05-29 15:35:22.979	1229.75	0.0	80.0	3659.0	19.60784339904785	96.77734375	8.235294342041016	
    2021-05-29 15:35:23.669	1377.25	0.0	80.0	3659.0	16.86274528503418	96.9085693359375	7.843137264251709	
    2021-05-29 15:35:24.422	1269.5	0.0	80.0	3659.0	15.686274528503418	97.1832275390625	6.274509906768799	
    2021-05-29 15:35:25.050	1090.5	0.0	80.0	3659.0	15.29411792755127	97.96142578125	6.666666507720947	
    2021-05-29 15:35:25.807	1029.75	0.0	80.39215850830078	3659.0	19.215686798095703	98.6297607421875	8.235294342041016	
    2021-05-29 15:35:26.499	1058.75	0.0	80.0	3659.0	38.82352828979492	99.1912841796875	13.333333015441895	
    2021-05-29 15:35:27.149	1050.25	0.0	80.0	3659.0	39.60784149169922	99.835205078125	13.333333015441895	
    2021-05-29 15:35:27.845	1082.25	0.0	80.0	3659.0	40.0	99.84130859375	14.509803771972656	
    2021-05-29 15:35:28.443	1101.5	0.0	80.0	3659.0	41.960784912109375	99.847412109375	14.117647171020508	
    2021-05-29 15:35:29.097	1137.75	0.0	80.0	3659.0	38.431373596191406	99.859619140625	13.333333015441895	
    2021-05-29 15:35:29.734	1120.25	0.0	80.0	3659.0	37.25490188598633	99.871826171875	12.941176414489746	
    2021-05-29 15:35:30.356	1115.0	0.0	80.0	3659.0	36.07843017578125	99.8870849609375	12.549019813537598	
    2021-05-29 15:35:30.958	1095.5	0.0	80.0	3659.0	35.29411697387695	99.8992919921875	12.15686321258545	
    2021-05-29 15:35:31.589	1088.75	0.0	80.0	3659.0	34.509803771972656	99.91455078125	12.15686321258545	
    2021-05-29 15:35:32.217	1067.25	0.0	80.0	3659.0	34.509803771972656	100.6378173828125	12.15686321258545	
    2021-05-29 15:35:32.848	1073.5	0.0	80.0	3659.0	34.117645263671875	101.5716552734375	11.764705657958984	
    2021-05-29 15:35:33.479	1065.75	0.0	80.0	3659.0	34.117645263671875	100.03662109375	11.764705657958984	
    2021-05-29 15:35:34.107	1066.25	0.0	80.0	3659.0	34.117645263671875	99.261474609375	11.764705657958984	
    2021-05-29 15:35:34.740	1064.5	0.0	80.0	3659.0	34.117645263671875	101.971435546875	11.764705657958984	
    2021-05-29 15:35:35.370	1060.5	0.0	80.0	3659.0	34.509803771972656	100.96435546875	12.15686321258545	
    2021-05-29 15:35:36.010	1067.0	0.0	80.0	3659.0	34.509803771972656	99.7161865234375	12.15686321258545	
    2021-05-29 15:35:36.627	1083.5	0.0	80.0	3659.0	34.117645263671875	101.9195556640625	12.15686321258545	
    2021-05-29 15:35:37.257	1078.0	0.0	80.0	3659.0	34.509803771972656	100.0244140625	12.15686321258545	
    2021-05-29 15:35:37.887	1084.25	0.0	80.0	3659.0	34.509803771972656	99.08447265625	12.15686321258545	
    2021-05-29 15:35:38.518	1084.75	0.0	80.0	3659.0	34.117645263671875	98.2269287109375	12.15686321258545	
    2021-05-29 15:35:39.148	1092.75	0.0	80.0	3659.0	34.117645263671875	100.7965087890625	12.15686321258545	
    2021-05-29 15:35:39.777	1086.25	0.0	80.0	3659.0	34.117645263671875	99.35302734375	11.764705657958984	
    2021-05-29 15:35:40.408	1084.5	0.0	80.0	3659.0	33.33333206176758	98.431396484375	11.372549057006836	
    2021-05-29 15:35:41.041	1061.75	0.0	80.0	3659.0	34.117645263671875	101.0162353515625	11.372549057006836	
    2021-05-29 15:35:41.698	1065.0	0.0	80.39215850830078	3659.0	33.72549057006836	101.94091796875	11.372549057006836	
    2021-05-29 15:35:42.329	1059.5	0.0	80.39215850830078	3659.0	32.94117736816406	99.7467041015625	10.980392456054688	
    2021-05-29 15:35:42.994	1070.25	0.0	80.0	3659.0	30.58823585510254	98.8525390625	10.588234901428223	
    2021-05-29 15:35:43.623	1061.75	0.0	80.0	3659.0	29.41176414489746	97.222900390625	9.803921699523926	
    2021-05-29 15:35:44.247	1067.75	0.0	80.0	3659.0	27.058822631835938	100.0091552734375	9.411765098571777	
    2021-05-29 15:35:44.909	1042.75	0.0	80.39215850830078	3659.0	27.843137741088867	99.06005859375	9.803921699523926	
    2021-05-29 15:35:45.477	1060.5	0.0	80.39215850830078	3659.0	28.627450942993164	97.7142333984375	10.588234901428223	
    2021-05-29 15:35:46.078	1080.5	0.0	80.0	3659.0	29.019607543945312	97.7142333984375	10.588234901428223	
    2021-05-29 15:35:46.710	1089.75	0.0	80.0	3659.0	29.80392074584961	100.6683349609375	10.588234901428223	
    2021-05-29 15:35:47.339	1075.75	0.0	80.0	3659.0	29.80392074584961	98.291015625	10.588234901428223	
    2021-05-29 15:35:47.968	1080.25	0.0	80.0	3659.0	29.41176414489746	97.418212890625	10.588234901428223	
    2021-05-29 15:35:48.598	1076.5	0.0	80.39215850830078	3659.0	29.80392074584961	96.429443359375	10.588234901428223	
    2021-05-29 15:35:49.259	1056.0	0.0	80.0	3659.0	30.19607925415039	98.834228515625	10.588234901428223	
    2021-05-29 15:35:49.889	1040.0	1.0	80.0	3659.0	32.54901885986328	99.7283935546875	13.72549057006836	
