"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Timing Advance (Cyl. #1)"	"Intake Air Temperature"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Commanded Equivalence Ratio"	"Comm. Throttle Actuator Cntrl"	"Ethanol fuel %"	
    2021-05-30 17:07:14.801	72.0	92.0	0.0	0.0	20.5	51.0	54.509803771972656	4042.0	124.30000305175781	94.61669921875	9.803921699523926	42.35293960571289	
    2021-05-30 17:07:18.384	72.0	59.0	0.0	0.0	20.5	51.0	54.509803771972656	4042.0	124.30000305175781	94.61669921875	5.882352828979492	42.35293960571289	
    2021-05-30 17:07:19.529	72.0	31.0	1258.25	0.0	-5.0	51.0	54.509803771972656	4042.0	124.30000305175781	94.8211669921875	8.235294342041016	42.35293960571289	
    2021-05-30 17:07:20.810	72.0	32.0	1184.75	0.0	-7.5	50.0	54.509803771972656	4042.0	124.5	95.41015625	6.274509906768799	42.35293960571289	
    2021-05-30 17:07:22.056	73.0	41.0	885.5	0.0	18.0	50.0	54.509803771972656	4042.0	125.0	97.2259521484375	7.843137264251709	42.35293960571289	
    2021-05-30 17:07:23.399	73.0	55.0	915.75	0.0	6.5	50.0	54.509803771972656	4042.0	126.30000305175781	99.3560791015625	9.411765098571777	42.35293960571289	
    2021-05-30 17:07:25.196	74.0	57.0	937.25	0.0	0.0	50.0	54.509803771972656	4042.0	128.89999389648438	100.0	10.196078300476074	42.35293960571289	
    2021-05-30 17:07:26.440	74.0	57.0	904.0	0.0	2.0	50.0	54.509803771972656	4042.0	131.6999969482422	100.0	10.588234901428223	42.35293960571289	
    2021-05-30 17:07:27.527	73.0	56.0	927.75	0.0	-1.0	50.0	54.509803771972656	4042.0	134.0	100.0	10.588234901428223	42.35293960571289	
    2021-05-30 17:07:28.675	73.0	53.0	940.25	0.0	-2.0	49.0	54.509803771972656	4042.0	136.3000030517578	100.0	10.588234901428223	42.35293960571289	
    2021-05-30 17:07:29.825	72.0	49.0	949.5	0.0	-4.0	49.0	54.509803771972656	4042.0	138.60000610351562	100.0	9.411765098571777	42.35293960571289	
    2021-05-30 17:07:31.233	72.0	51.0	910.0	0.0	4.0	49.0	54.117645263671875	4042.0	141.0	100.0	9.411765098571777	42.35293960571289	
    2021-05-30 17:07:32.455	71.0	51.0	913.5	0.0	2.0	49.0	54.509803771972656	4042.0	143.89999389648438	99.79248046875	9.411765098571777	42.35293960571289	
    2021-05-30 17:07:33.598	71.0	51.0	906.25	0.0	2.0	49.0	54.509803771972656	4042.0	146.10000610351562	98.492431640625	9.411765098571777	42.35293960571289	
    2021-05-30 17:07:34.737	71.0	49.0	924.75	0.0	1.0	49.0	54.509803771972656	4042.0	148.5	97.13134765625	9.411765098571777	42.35293960571289	
    2021-05-30 17:07:35.981	71.0	50.0	927.0	0.0	-1.0	49.0	54.509803771972656	4042.0	150.6999969482422	95.7550048828125	9.019607543945312	42.35293960571289	
    2021-05-30 17:07:37.294	71.0	47.0	926.5	0.0	-1.0	49.0	54.509803771972656	4042.0	153.3000030517578	94.293212890625	9.019607543945312	42.35293960571289	
    2021-05-30 17:07:38.595	71.0	49.0	921.25	0.0	0.5	49.0	54.509803771972656	4042.0	155.8000030517578	92.779541015625	9.019607543945312	42.35293960571289	
    2021-05-30 17:07:39.929	71.0	47.0	931.25	0.0	-0.5	49.0	54.509803771972656	4042.0	158.39999389648438	94.708251953125	9.019607543945312	42.35293960571289	
    2021-05-30 17:07:41.277	71.0	47.0	930.75	0.0	0.5	49.0	54.117645263671875	4042.0	161.0	94.1864013671875	9.019607543945312	42.35293960571289	
    2021-05-30 17:07:42.777	71.0	47.0	919.25	0.0	2.0	49.0	54.117645263671875	4042.0	164.3000030517578	92.291259765625	9.019607543945312	42.35293960571289	
    2021-05-30 17:07:44.457	72.0	47.0	921.25	0.0	0.5	48.0	54.509803771972656	4042.0	167.1999969482422	92.3828125	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:45.540	72.0	48.0	915.5	0.0	2.0	48.0	54.509803771972656	4042.0	169.6999969482422	93.1884765625	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:46.618	72.0	48.0	924.75	0.0	0.5	48.0	54.509803771972656	4042.0	171.8000030517578	94.93408203125	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:47.703	72.0	48.0	916.0	0.0	1.5	48.0	54.509803771972656	4042.0	173.89999389648438	92.49267578125	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:48.808	72.0	47.0	927.75	0.0	1.0	48.0	54.509803771972656	4042.0	175.8000030517578	93.4234619140625	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:49.925	72.0	48.0	915.5	0.0	1.0	48.0	54.509803771972656	4042.0	178.10000610351562	94.8455810546875	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:51.019	73.0	48.0	918.5	0.0	1.5	48.0	54.509803771972656	4042.0	180.10000610351562	93.2342529296875	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:52.080	73.0	48.0	919.0	0.0	1.0	48.0	54.117645263671875	4042.0	182.0	95.062255859375	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:54.266	73.0	48.0	918.5	0.0	2.0	48.0	54.509803771972656	4042.0	186.10000610351562	93.2861328125	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:55.382	73.0	46.0	919.5	0.0	1.0	48.0	54.509803771972656	4042.0	188.10000610351562	94.873046875	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:56.479	73.0	46.0	915.5	0.0	1.5	48.0	54.509803771972656	4042.0	190.10000610351562	92.242431640625	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:57.538	73.0	48.0	916.5	0.0	2.0	48.0	54.509803771972656	4042.0	192.10000610351562	95.0286865234375	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:58.709	74.0	48.0	919.75	0.0	1.0	48.0	54.509803771972656	4042.0	194.0	92.27294921875	8.627450942993164	42.35293960571289	
    2021-05-30 17:07:59.789	74.0	46.0	917.5	0.0	4.0	48.0	54.509803771972656	4042.0	196.1999969482422	92.7215576171875	8.627450942993164	42.35293960571289	
    2021-05-30 17:08:00.898	74.0	47.0	914.5	0.0	1.5	48.0	54.509803771972656	4042.0	197.89999389648438	94.42138671875	8.627450942993164	42.35293960571289	
    2021-05-30 17:08:02.042	74.0	47.0	920.5	0.0	2.0	48.0	54.509803771972656	4042.0	200.10000610351562	92.3919677734375	8.627450942993164	42.35293960571289	
    2021-05-30 17:08:03.151	74.0	49.0	912.25	0.0	2.5	48.0	54.509803771972656	4042.0	202.0	93.4661865234375	8.627450942993164	42.35293960571289	
    2021-05-30 17:08:04.296	74.0	52.0	919.0	0.0	1.5	48.0	54.509803771972656	4042.0	203.89999389648438	94.8486328125	11.372549057006836	42.35293960571289	
    2021-05-30 17:08:05.398	74.0	47.0	1216.0	0.0	-4.0	48.0	54.509803771972656	4042.0	206.60000610351562	91.9189453125	10.588234901428223	42.35293960571289	
    2021-05-30 17:08:06.478	75.0	50.0	1214.0	0.0	-1.0	48.0	54.509803771972656	4042.0	208.8000030517578	88.8580322265625	10.980392456054688	42.35293960571289	
    2021-05-30 17:08:07.560	75.0	49.0	1201.5	0.0	0.0	48.0	54.509803771972656	4042.0	211.3000030517578	89.5904541015625	10.588234901428223	42.35293960571289	
    2021-05-30 17:08:08.709	75.0	55.0	1146.0	1.0	20.5	48.0	54.509803771972656	4042.0	214.0	89.385986328125	11.372549057006836	42.35293960571289	
    2021-05-30 17:08:09.795	75.0	55.0	1082.75	3.0	18.0	48.0	54.509803771972656	4042.0	216.1999969482422	93.939208984375	10.588234901428223	42.35293960571289	
    2021-05-30 17:08:10.890	75.0	53.0	1076.0	5.0	18.0	48.0	54.117645263671875	4042.0	218.8000030517578	93.084716796875	10.588234901428223	42.35293960571289	
    2021-05-30 17:08:12.000	75.0	37.0	1244.25	2.0	-6.0	47.0	54.509803771972656	4042.0	221.39999389648438	92.547607421875	7.058823585510254	42.35293960571289	
    2021-05-30 17:08:13.113	76.0	56.0	1288.0	0.0	-5.5	47.0	51.3725471496582	4042.0	223.60000610351562	91.668701171875	12.549019813537598	42.35293960571289	
    2021-05-30 17:08:14.309	76.0	39.0	1877.0	0.0	31.5	47.0	49.01960754394531	4042.0	227.5	90.9332275390625	13.333333015441895	42.35293960571289	
    2021-05-30 17:08:15.511	76.0	59.0	2310.0	2.0	23.0	47.0	49.411766052246094	4042.0	231.5	91.6107177734375	10.980392456054688	42.35293960571289	
    2021-05-30 17:08:16.617	76.0	56.0	1212.75	7.0	22.0	47.0	54.509803771972656	4042.0	235.3000030517578	94.256591796875	12.941176414489746	42.35293960571289	
    2021-05-30 17:08:17.726	76.0	38.0	1689.0	10.0	15.5	47.0	55.29411697387695	4042.0	238.89999389648438	88.8946533203125	11.372549057006836	42.35293960571289	
    2021-05-30 17:08:18.900	77.0	31.0	1970.0	12.0	37.5	47.0	55.29411697387695	4042.0	242.3000030517578	88.824462890625	10.196078300476074	42.35293960571289	
    2021-05-30 17:08:20.006	77.0	55.0	1889.0	13.0	2.0	47.0	52.156864166259766	4042.0	245.10000610351562	99.81689453125	13.333333015441895	42.35293960571289	
    2021-05-30 17:08:21.142	77.0	80.0	1090.75	13.0	-11.0	47.0	46.66666793823242	4042.0	248.60000610351562	102.191162109375	17.647058486938477	42.35293960571289	
    2021-05-30 17:08:22.227	77.0	92.0	1405.75	15.0	18.0	47.0	51.764705657958984	4042.0	253.89999389648438	98.016357421875	20.0	42.35293960571289	
    2021-05-30 17:08:23.406	77.0	54.0	1764.25	19.0	12.0	47.0	58.039215087890625	4042.0	263.5	100.1556396484375	15.29411792755127	42.35293960571289	
    2021-05-30 17:08:24.548	78.0	27.0	2035.75	22.0	5.0	46.0	55.686275482177734	4042.0	271.3999938964844	94.17724609375	9.803921699523926	42.35293960571289	
    2021-05-30 17:08:25.665	78.0	23.0	2027.5	22.0	5.0	46.0	46.66666793823242	4042.0	275.6000061035156	104.998779296875	8.235294342041016	42.35293960571289	
    2021-05-30 17:08:26.731	78.0	25.0	1910.25	21.0	9.5	46.0	49.01960754394531	4042.0	277.5	104.998779296875	7.450980186462402	42.35293960571289	
    2021-05-30 17:08:27.839	78.0	47.0	1755.0	19.0	8.5	46.0	52.156864166259766	4042.0	278.70001220703125	100.0	12.941176414489746	42.35293960571289	
    2021-05-30 17:08:28.988	79.0	51.0	1710.5	19.0	12.5	46.0	54.509803771972656	4042.0	282.0	96.6094970703125	13.72549057006836	42.35293960571289	
    2021-05-30 17:08:30.153	79.0	40.0	1760.5	19.0	31.5	46.0	54.117645263671875	4042.0	285.70001220703125	92.6422119140625	11.764705657958984	42.35293960571289	
    2021-05-30 17:08:31.272	79.0	49.0	1724.5	19.0	0.5	46.0	54.509803771972656	4042.0	288.6000061035156	92.608642578125	12.941176414489746	42.35293960571289	
    2021-05-30 17:08:32.339	79.0	66.0	1590.0	17.0	13.0	46.0	58.039215087890625	4042.0	291.70001220703125	94.4183349609375	15.686274528503418	42.35293960571289	
    2021-05-30 17:08:33.487	79.0	68.0	1629.5	18.0	13.5	46.0	61.568626403808594	4042.0	295.3999938964844	92.95654296875	17.254901885986328	42.35293960571289	
    2021-05-30 17:08:34.622	80.0	61.0	1768.25	19.0	18.5	46.0	54.509803771972656	4042.0	299.3999938964844	95.3338623046875	16.86274528503418	42.35293960571289	
    2021-05-30 17:08:35.731	80.0	55.0	1916.25	21.0	30.5	46.0	51.3725471496582	4042.0	304.20001220703125	94.0399169921875	16.078432083129883	42.35293960571289	
    2021-05-30 17:08:36.931	80.0	34.0	2061.25	23.0	14.5	46.0	51.3725471496582	4042.0	309.1000061035156	90.34423828125	12.15686321258545	42.35293960571289	
    2021-05-30 17:08:38.035	80.0	23.0	2067.25	23.0	23.5	45.0	49.01960754394531	4042.0	312.3999938964844	90.63720703125	8.235294342041016	42.35293960571289	
    2021-05-30 17:08:39.154	80.0	39.0	2018.0	22.0	16.0	45.0	49.01960754394531	4042.0	315.0	95.184326171875	12.15686321258545	42.35293960571289	
    2021-05-30 17:08:40.237	81.0	38.0	2029.0	22.0	17.0	46.0	54.509803771972656	4042.0	318.0	94.6563720703125	12.549019813537598	42.35293960571289	
    2021-05-30 17:08:41.338	81.0	86.0	2078.0	23.0	37.0	46.0	54.117645263671875	4042.0	321.20001220703125	94.9951171875	30.980392456054688	42.35293960571289	
    2021-05-30 17:08:42.416	81.0	85.0	2324.0	26.0	15.0	46.0	51.764705657958984	4042.0	339.8999938964844	97.125244140625	35.686275482177734	42.35293960571289	
    2021-05-30 17:08:43.534	81.0	80.0	2743.0	30.0	22.5	45.0	49.01960754394531	4042.0	369.70001220703125	100.738525390625	34.90196228027344	42.35293960571289	
    2021-05-30 17:08:44.640	81.0	86.0	3161.5	35.0	24.0	44.0	58.431373596191406	4042.0	398.6000061035156	89.9993896484375	12.549019813537598	42.35293960571289	
    2021-05-30 17:08:45.721	82.0	92.0	3061.0	37.0	20.0	43.0	51.3725471496582	4042.0	417.29998779296875	89.9993896484375	52.156864166259766	42.35293960571289	
    2021-05-30 17:08:46.801	82.0	94.0	2347.0	40.0	9.0	43.0	41.568626403808594	4042.0	441.8999938964844	98.7640380859375	54.117645263671875	42.35293960571289	
    2021-05-30 17:08:47.906	82.0	87.0	2553.5	44.0	13.5	43.0	43.92156982421875	4042.0	470.79998779296875	101.9744873046875	64.31372833251953	42.35293960571289	
    2021-05-30 17:08:49.084	83.0	93.0	2805.5	49.0	15.5	42.0	49.01960754394531	4042.0	499.29998779296875	97.3388671875	66.2745132446289	42.35293960571289	
    2021-05-30 17:08:50.157	83.0	31.0	3069.5	53.0	17.0	41.0	51.764705657958984	4042.0	526.2000122070312	89.9993896484375	12.549019813537598	42.35293960571289	
    2021-05-30 17:08:51.326	84.0	86.0	2799.25	54.0	16.5	40.0	51.3725471496582	4042.0	532.5999755859375	89.9993896484375	100.0	42.35293960571289	
    2021-05-30 17:08:52.475	84.0	96.0	2381.0	57.0	13.0	40.0	51.764705657958984	4042.0	540.7999877929688	85.284423828125	100.0	42.35293960571289	
    2021-05-30 17:08:53.574	85.0	85.0	2501.25	60.0	15.0	40.0	46.27450942993164	4042.0	545.9000244140625	85.284423828125	100.0	42.35293960571289	
    2021-05-30 17:08:54.719	85.0	97.0	2610.5	63.0	15.5	40.0	54.117645263671875	4042.0	549.4000244140625	85.284423828125	100.0	42.35293960571289	
    2021-05-30 17:08:55.858	86.0	95.0	2715.75	65.0	15.5	40.0	54.509803771972656	4042.0	551.7000122070312	85.284423828125	100.0	42.35293960571289	
