"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Intake Air Temperature"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Comm. Throttle Actuator Cntrl"	"Ethanol fuel %"	
    2021-05-29 15:09:05.111	70.0	90.0	0.0	0.0	38.0	84.70587921142578	3651.0	317.6000061035156	0.0	95.0897216796875	9.803921699523926	52.54901885986328	
    2021-05-29 15:09:46.907	69.0	65.0	0.0	0.0	38.0	84.70587921142578	3651.0	311.5	0.0	95.00732421875	5.098039150238037	52.54901885986328	
    2021-05-29 15:09:48.073	69.0	31.0	1196.75	0.0	38.0	84.70587921142578	3651.0	310.1000061035156	17.647058486938477	95.2056884765625	8.235294342041016	52.54901885986328	
    2021-05-29 15:09:49.210	69.0	32.0	1238.25	0.0	37.0	85.09803771972656	3651.0	308.29998779296875	16.86274528503418	95.56884765625	7.058823585510254	52.54901885986328	
    2021-05-29 15:09:50.503	70.0	38.0	1051.75	0.0	37.0	84.70587921142578	3651.0	306.70001220703125	20.0	97.3876953125	8.235294342041016	52.54901885986328	
    2021-05-29 15:09:51.679	70.0	40.0	1086.75	0.0	37.0	85.09803771972656	3651.0	305.6000061035156	21.960784912109375	99.1943359375	9.019607543945312	52.54901885986328	
    2021-05-29 15:09:52.908	70.0	39.0	1090.25	0.0	37.0	84.70587921142578	3651.0	305.1000061035156	22.745098114013672	99.951171875	9.019607543945312	52.54901885986328	
    2021-05-29 15:09:54.194	70.0	39.0	1083.0	0.0	38.0	84.70587921142578	3651.0	304.79998779296875	21.568628311157227	99.9725341796875	8.235294342041016	52.54901885986328	
    2021-05-29 15:09:55.571	70.0	38.0	1062.25	0.0	38.0	84.70587921142578	3651.0	304.6000061035156	21.176469802856445	99.9847412109375	8.235294342041016	52.54901885986328	
    2021-05-29 15:09:56.775	70.0	37.0	1067.5	0.0	38.0	84.70587921142578	3651.0	304.5	20.784313201904297	99.993896484375	7.843137264251709	52.54901885986328	
    2021-05-29 15:09:57.977	70.0	37.0	1060.75	0.0	38.0	84.70587921142578	3651.0	304.3999938964844	20.39215660095215	98.3917236328125	7.843137264251709	52.54901885986328	
    2021-05-29 15:09:59.083	70.0	38.0	1069.75	0.0	38.0	84.70587921142578	3651.0	304.5	20.39215660095215	96.942138671875	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:00.286	70.0	36.0	1071.75	0.0	38.0	84.70587921142578	3651.0	304.5	20.39215660095215	95.3826904296875	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:01.522	70.0	36.0	1070.75	0.0	38.0	85.09803771972656	3651.0	304.70001220703125	20.39215660095215	93.9361572265625	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:02.740	70.0	36.0	1075.75	0.0	38.0	84.70587921142578	3651.0	304.8999938964844	20.39215660095215	95.7122802734375	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:03.921	70.0	37.0	1074.0	0.0	38.0	84.70587921142578	3651.0	305.1000061035156	20.39215660095215	92.9351806640625	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:05.023	70.0	36.0	1078.0	0.0	38.0	84.70587921142578	3651.0	305.3999938964844	20.0	95.941162109375	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:06.189	70.0	37.0	1074.25	0.0	38.0	84.70587921142578	3651.0	305.70001220703125	20.0	93.1610107421875	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:07.279	71.0	37.0	1070.25	0.0	38.0	84.70587921142578	3651.0	306.0	20.0	94.1619873046875	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:08.482	71.0	38.0	1071.75	0.0	38.0	84.70587921142578	3651.0	306.29998779296875	20.39215660095215	95.7489013671875	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:09.552	71.0	37.0	1070.0	0.0	38.0	84.70587921142578	3651.0	306.70001220703125	20.39215660095215	93.4356689453125	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:10.631	71.0	36.0	1074.75	0.0	38.0	85.09803771972656	3651.0	307.1000061035156	20.39215660095215	96.5087890625	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:11.680	71.0	37.0	1075.5	0.0	38.0	84.70587921142578	3651.0	307.5	20.39215660095215	93.7713623046875	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:12.864	71.0	37.0	1064.75	0.0	38.0	84.70587921142578	3651.0	308.0	20.39215660095215	94.696044921875	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:14.268	71.0	38.0	1069.25	0.0	38.0	84.70587921142578	3651.0	308.3999938964844	20.39215660095215	97.003173828125	7.843137264251709	52.54901885986328	
    2021-05-29 15:10:15.861	72.0	39.0	1065.75	0.0	38.0	84.70587921142578	3651.0	309.1000061035156	21.176469802856445	96.9696044921875	8.627450942993164	52.54901885986328	
    2021-05-29 15:10:17.234	72.0	38.0	1183.0	0.0	38.0	84.70587921142578	3651.0	309.8999938964844	21.176469802856445	95.5902099609375	8.627450942993164	52.54901885986328	
    2021-05-29 15:10:18.386	72.0	39.0	1192.25	1.0	38.0	84.70587921142578	3651.0	310.70001220703125	21.960784912109375	93.939208984375	8.627450942993164	52.54901885986328	
    2021-05-29 15:10:19.551	72.0	39.0	1203.5	0.0	38.0	80.0	3651.0	311.3999938964844	21.568628311157227	97.30224609375	8.627450942993164	52.54901885986328	
