"Time [s]"	"Engine RPM"	"Vehicle Speed"	"Timing Advance (Cyl. #1)"	"Absolute Throttle Position"	"Time Since Engine Start"	"Commanded Equivalence Ratio"	
    2021-05-28 18:22:42.168	0.0	0.0	0.0	16.86274528503418	0.0	93.7774658203125	
    2021-05-28 18:22:55.246	0.0	0.0	11.0	15.686274528503418	0.0	93.7652587890625	
    2021-05-28 18:22:55.773	608.0	0.0	8.0	17.647058486938477	0.0	93.88427734375	
    2021-05-28 18:22:56.314	1199.5	0.0	-5.0	17.254901885986328	0.0	94.00634765625	
    2021-05-28 18:22:56.885	1259.75	0.0	-6.0	16.86274528503418	2.7777778450399637E-4	94.1558837890625	
    2021-05-28 18:22:57.424	1162.5	0.0	-6.0	16.86274528503418	2.7777778450399637E-4	94.43359375	
    2021-05-28 18:22:57.994	1100.75	0.0	0.5	16.078432083129883	5.555555690079927E-4	95.465087890625	
    2021-05-28 18:22:58.591	1053.0	0.0	10.0	16.47058868408203	5.555555690079927E-4	96.3226318359375	
    2021-05-28 18:22:59.135	1069.25	0.0	5.5	17.254901885986328	8.333333535119891E-4	97.357177734375	
    2021-05-28 18:22:59.706	1084.0	0.0	5.0	17.647058486938477	8.333333535119891E-4	98.3856201171875	
    2021-05-28 18:23:00.245	1103.25	0.0	3.5	18.431371688842773	0.0011111111380159855	99.237060546875	
    2021-05-28 18:23:00.873	1109.75	0.0	4.0	19.215686798095703	0.0013888889225199819	99.4873046875	
    2021-05-28 18:23:01.415	1108.0	0.0	0.5	19.215686798095703	0.0013888889225199819	99.5513916015625	
    2021-05-28 18:23:01.952	1159.5	0.0	-2.5	19.215686798095703	0.0016666667070239782	99.62158203125	
    2021-05-28 18:23:02.585	1126.25	0.0	-0.5	19.215686798095703	0.0016666667070239782	99.62158203125	
    2021-05-28 18:23:03.335	1109.25	0.0	-0.5	18.431371688842773	0.0016666667070239782	99.62158203125	
    2021-05-28 18:23:03.964	1090.5	0.0	1.0	18.431371688842773	0.002222222276031971	99.8504638671875	
    2021-05-28 18:23:04.514	1076.25	0.0	2.5	18.431371688842773	0.002222222276031971	99.9053955078125	
    2021-05-28 18:23:05.013	1080.75	0.0	2.0	18.431371688842773	0.0024999999441206455	99.96337890625	
    2021-05-28 18:23:05.581	1076.0	0.0	2.5	18.039215087890625	0.0024999999441206455	100.0	
    2021-05-28 18:23:06.121	1071.75	0.0	3.0	18.039215087890625	0.0027777778450399637	100.0	
    2021-05-28 18:23:06.694	1063.75	0.0	4.0	18.039215087890625	0.0027777778450399637	100.0	
    2021-05-28 18:23:07.265	1059.25	0.0	4.5	18.039215087890625	0.0030555555131286383	100.0	
    2021-05-28 18:23:07.926	1072.0	0.0	4.5	18.039215087890625	0.0033333334140479565	100.0	
    2021-05-28 18:23:08.704	1079.0	0.0	4.0	18.039215087890625	0.0033333334140479565	100.0	
    2021-05-28 18:23:09.274	1070.75	0.0	3.5	18.039215087890625	0.003611111082136631	99.5513916015625	
    2021-05-28 18:23:09.814	1065.0	0.0	4.0	18.039215087890625	0.003888888983055949	98.822021484375	
    2021-05-28 18:23:10.353	1067.5	0.0	3.0	18.039215087890625	0.003888888983055949	98.0926513671875	
    2021-05-28 18:23:10.894	1068.5	0.0	3.5	18.039215087890625	0.004166666883975267	97.369384765625	
    2021-05-28 18:23:11.434	1072.25	0.0	3.0	18.039215087890625	0.004166666883975267	96.64306640625	
    2021-05-28 18:23:11.975	1070.0	0.0	3.5	18.039215087890625	0.004444444552063942	95.9228515625	
    2021-05-28 18:23:12.513	1071.75	0.0	4.0	17.647058486938477	0.004444444552063942	95.1995849609375	
    2021-05-28 18:23:13.053	1073.25	0.0	3.5	18.039215087890625	0.0047222222201526165	94.4793701171875	
    2021-05-28 18:23:13.593	1078.5	0.0	3.0	18.039215087890625	0.0047222222201526165	93.8629150390625	
    2021-05-28 18:23:14.134	1077.5	0.0	2.5	18.039215087890625	0.004999999888241291	96.624755859375	
    2021-05-28 18:23:14.675	1068.5	0.0	3.5	17.647058486938477	0.004999999888241291	94.7967529296875	
    2021-05-28 18:23:15.213	1081.75	0.0	3.5	17.647058486938477	0.005277777556329966	93.9453125	
    2021-05-28 18:23:15.754	1074.5	0.0	3.5	17.647058486938477	0.0055555556900799274	96.42333984375	
    2021-05-28 18:23:16.295	1066.75	0.0	5.0	17.647058486938477	0.0055555556900799274	97.1405029296875	
    2021-05-28 18:23:16.833	1057.25	0.0	6.5	17.647058486938477	0.005833333358168602	94.9951171875	
    2021-05-28 18:23:17.375	1074.75	0.0	3.5	18.039215087890625	0.005833333358168602	94.317626953125	
    2021-05-28 18:23:17.919	1080.25	0.0	3.0	18.039215087890625	0.0061111110262572765	96.9818115234375	
    2021-05-28 18:23:18.453	1078.5	0.0	2.5	18.039215087890625	0.0061111110262572765	95.2362060546875	
    2021-05-28 18:23:18.993	1084.5	0.0	2.0	18.039215087890625	0.006388888694345951	94.43359375	
    2021-05-28 18:23:19.537	1077.75	0.0	2.0	18.039215087890625	0.006388888694345951	96.9818115234375	
    2021-05-28 18:23:20.073	1061.25	0.0	3.0	17.647058486938477	0.006666666828095913	95.074462890625	
    2021-05-28 18:23:20.616	1061.75	0.0	1.5	17.647058486938477	0.006666666828095913	94.317626953125	
    2021-05-28 18:23:21.156	1073.0	0.0	3.5	18.039215087890625	0.0069444444961845875	97.1038818359375	
    2021-05-28 18:23:21.694	1209.75	0.0	-1.5	18.431371688842773	0.0069444444961845875	95.7000732421875	
