"Time [s]"	"Coolant Temperature"	"Intake Manifold Pressure"	"Engine RPM"	"Vehicle Speed"	"Distance since MIL activated"	"Fuel Level Input"	"Distance since ECU reset"	"CAT Temperature B1S1"	"Absolute Engine Load"	"Commanded Equivalence Ratio"	"Ethanol fuel %"	
    2021-06-03 11:32:48.866	89.0	42.0	915.0	9.0	0.0	27.843137741088867	4252.0	546.5	24.3137264251709	104.2083740234375	42.35293960571289	
    2021-06-03 11:32:52.276	90.0	42.0	915.0	9.0	0.0	27.843137741088867	4252.0	546.5	24.3137264251709	104.2083740234375	42.35293960571289	
    2021-06-03 11:32:55.793	90.0	42.0	913.5	9.0	0.0	27.45098114013672	4252.0	539.5999755859375	23.921567916870117	103.9825439453125	42.35293960571289	
    2021-06-03 11:32:59.329	90.0	42.0	922.75	9.0	0.0	27.843137741088867	4252.0	532.7999877929688	24.3137264251709	101.751708984375	42.35293960571289	
    2021-06-03 11:33:03.591	90.0	43.0	924.25	9.0	0.0	27.843137741088867	4252.0	526.5999755859375	24.3137264251709	103.7445068359375	42.35293960571289	
    2021-06-03 11:33:07.521	90.0	44.0	921.5	9.0	0.0	27.843137741088867	4252.0	518.7999877929688	24.3137264251709	101.580810546875	42.35293960571289	
    2021-06-03 11:33:11.413	90.0	74.0	921.0	9.0	0.0	27.843137741088867	4252.0	513.5	24.3137264251709	103.216552734375	42.35293960571289	
    2021-06-03 11:33:15.200	89.0	77.0	1443.5	9.0	0.0	25.490196228027344	4252.0	510.8999938964844	20.784313201904297	89.9993896484375	42.35293960571289	
    2021-06-03 11:33:18.616	89.0	72.0	1797.0	19.0	0.0	25.490196228027344	4252.0	512.4000244140625	61.960784912109375	95.6146240234375	42.35293960571289	
    2021-06-03 11:33:22.013	90.0	92.0	1635.25	29.0	0.0	17.254901885986328	4252.0	521.5	65.88235473632812	98.553466796875	42.35293960571289	
    2021-06-03 11:33:25.399	90.0	37.0	2218.75	38.0	0.0	30.19607925415039	4252.0	555.4000244140625	65.88235473632812	98.7396240234375	42.35293960571289	
    2021-06-03 11:33:28.848	91.0	38.0	1944.5	43.0	0.0	22.745098114013672	4252.0	567.0	43.92156982421875	97.9400634765625	42.35293960571289	
    2021-06-03 11:33:32.239	92.0	26.0	1865.5	44.0	0.0	22.745098114013672	4252.0	568.5	13.333333015441895	100.0	42.35293960571289	
    2021-06-03 11:33:35.691	91.0	57.0	1650.0	39.0	0.0	27.45098114013672	4252.0	565.0	13.333333015441895	103.216552734375	42.35293960571289	
    2021-06-03 11:33:39.106	90.0	84.0	1501.75	36.0	0.0	29.80392074584961	4252.0	561.4000244140625	49.411766052246094	97.6226806640625	42.35293960571289	
    2021-06-03 11:33:42.467	89.0	42.0	1662.0	40.0	0.0	27.843137741088867	4252.0	561.2999877929688	36.07843017578125	93.896484375	42.35293960571289	
    2021-06-03 11:33:45.857	89.0	93.0	1300.5	31.0	0.0	27.058822631835938	4252.0	560.2999877929688	38.039215087890625	94.8760986328125	42.35293960571289	
    2021-06-03 11:33:49.248	90.0	79.0	1189.5	28.0	0.0	27.058822631835938	4252.0	559.4000244140625	67.45098114013672	99.1546630859375	42.35293960571289	
    2021-06-03 11:33:52.727	90.0	45.0	1451.25	35.0	0.0	27.45098114013672	4252.0	560.9000244140625	40.7843132019043	97.30224609375	42.35293960571289	
    2021-06-03 11:33:56.088	90.0	52.0	1510.25	36.0	0.0	27.843137741088867	4252.0	559.0	22.352941513061523	98.2025146484375	42.35293960571289	
    2021-06-03 11:33:59.567	90.0	45.0	1348.25	32.0	0.0	27.843137741088867	4252.0	554.7000122070312	24.705883026123047	101.1749267578125	42.35293960571289	
    2021-06-03 11:34:02.993	89.0	49.0	1178.25	28.0	0.0	23.13725471496582	4252.0	550.0	29.019607543945312	97.5738525390625	42.35293960571289	
    2021-06-03 11:34:06.467	89.0	55.0	1020.5	7.0	0.0	23.13725471496582	4252.0	545.0999755859375	31.764705657958984	103.6163330078125	42.35293960571289	
    2021-06-03 11:34:09.888	89.0	57.0	946.25	0.0	0.0	23.13725471496582	4252.0	539.9000244140625	32.54901885986328	103.125	42.35293960571289	
    2021-06-03 11:34:13.306	89.0	55.0	949.25	0.0	0.0	25.490196228027344	4252.0	534.9000244140625	31.372549057006836	101.312255859375	42.35293960571289	
    2021-06-03 11:34:16.638	88.0	56.0	948.75	0.0	0.0	25.490196228027344	4252.0	529.7999877929688	32.94117736816406	101.141357421875	42.35293960571289	
    2021-06-03 11:34:20.027	88.0	57.0	943.0	0.0	0.0	27.843137741088867	4252.0	525.0999755859375	33.72549057006836	102.3162841796875	42.35293960571289	
    2021-06-03 11:34:23.388	88.0	57.0	952.25	0.0	0.0	25.490196228027344	4252.0	520.9000244140625	34.117645263671875	102.64892578125	42.35293960571289	
    2021-06-03 11:34:26.779	88.0	55.0	957.5	0.0	0.0	27.843137741088867	4252.0	517.0	33.33333206176758	100.933837890625	42.35293960571289	
    2021-06-03 11:34:30.168	88.0	54.0	960.25	0.0	0.0	27.058822631835938	4252.0	513.2999877929688	36.47058868408203	101.2176513671875	42.35293960571289	
    2021-06-03 11:34:37.009	87.0	56.0	950.0	0.0	0.0	27.843137741088867	4252.0	506.3999938964844	33.33333206176758	100.0152587890625	42.35293960571289	
    2021-06-03 11:34:40.428	87.0	54.0	944.75	0.0	0.0	25.098039627075195	4252.0	503.20001220703125	32.94117736816406	102.0050048828125	42.35293960571289	
